Expression	Value	Location	Type	
ADXL_DUR	0x70	0x200018B9	unsigned char	
[475]	1291	0x20000E26	unsigned short	
[476]	1303	0x20000E28	unsigned short	
[477]	1306	0x20000E2A	unsigned short	
[478]	1297	0x20000E2C	unsigned short	
[479]	1304	0x20000E2E	unsigned short	
[480]	1275	0x20000E30	unsigned short	
[481]	1292	0x20000E32	unsigned short	
[482]	1278	0x20000E34	unsigned short	
[483]	1276	0x20000E36	unsigned short	
[484]	1229	0x20000E38	unsigned short	
[485]	1225	0x20000E3A	unsigned short	
[486]	1242	0x20000E3C	unsigned short	
[487]	1242	0x20000E3E	unsigned short	
[488]	1206	0x20000E40	unsigned short	
[489]	1219	0x20000E42	unsigned short	
[490]	1220	0x20000E44	unsigned short	
[491]	1220	0x20000E46	unsigned short	
[492]	1281	0x20000E48	unsigned short	
[493]	1294	0x20000E4A	unsigned short	
[494]	1291	0x20000E4C	unsigned short	
[495]	1289	0x20000E4E	unsigned short	
[496]	1230	0x20000E50	unsigned short	
[497]	1237	0x20000E52	unsigned short	
[498]	1252	0x20000E54	unsigned short	
[499]	1253	0x20000E56	unsigned short	
[500]	1274	0x20000E58	unsigned short	
[501]	1283	0x20000E5A	unsigned short	
[502]	1271	0x20000E5C	unsigned short	
[503]	1280	0x20000E5E	unsigned short	
[504]	1240	0x20000E60	unsigned short	
[505]	1240	0x20000E62	unsigned short	
[506]	1225	0x20000E64	unsigned short	
[507]	1239	0x20000E66	unsigned short	
[508]	1206	0x20000E68	unsigned short	
[509]	1209	0x20000E6A	unsigned short	
[510]	1201	0x20000E6C	unsigned short	
[511]	1200	0x20000E6E	unsigned short	
led_display_ye_ok	0x55	0x200018A2	unsigned char	
led_display_long	60	0x200018A4	unsigned char	
Gesture_Process_Result	4	0x20000664	unsigned long	
led_display_Vbuffx	0x01	0x2000189D	unsigned char	
led_display_pageing	'U' (0x55)	0x2000189E	unsigned char	
led_display_y	0x10	0x20001893	unsigned char	
led_display_txpic_flag	0x00	0x20001898	unsigned char	
led_display_new	0xAA	0x20001896	unsigned char	
UART1_transmit_control	0x00	0x200018C3	unsigned char	
ps_flag_led	0	0x200018A5	unsigned char	
Gesture_Process_Result	4	0x20000664	unsigned long	
rx2_cnt	0x00	0x2000188B	unsigned char	
uart2_rx_buff	""	0x20001348	unsigned char[100]	
STM32_UP_selfT_flag1	0x00	0x200018BD	unsigned char	
